building_rating_id,building_name,address,city,state,zipcode
2.0,hillcrest apartments,640 Olson Rd,Longview,WA,98632
3.0,hillcrest apartments,423 S G St,Tacoma,WA,98405
2.0,hillcrest apartments,7627 Hollywood Blvd,Los Angeles,CA,90046
3.0,hillcrest apartments,490 Gainesville Hwy,Winder,GA,30680
2.0,hillcrest apartments,13 Hillcrest Dr,Pittsburgh,PA,15202
3.0,hillcrest apartments,4155 East Wind Dr,Memphis,TN,38116
2.0,hillcrest apartments,1614 Longview,Benton,AR,72015
2.0,hillcrest apartments,808 N Monroe St,Stillwater,OK,74075
2.0,hillcrest apartments,365 N Main St,Munroe Falls,OH,44262
2.0,hillcrest apartments,1119 1st Ave N,Sauk Rapids,MN,56379
3.0,hillcrest apartments,154 Sunset Dr,Ontario,OR,97914
2.0,hillcrest apartments,700 Meadow Ln,Burlington,WI,53105
2.0,hillcrest apartments,1480 47th Ave NE,Columbia Heights,MN,55421
2.0,hillcrest apartments,205 W Tower Rd,Wheeler,WI,54772
2.0,hillcrest apartments,2928 N Main St,Findlay,OH,45840
2.0,hillcrest apartments,902 S 5th St,Sanger,TX,76266
2.0,hillcrest apartments,1104 Ronstan Dr,Killeen,TX,76542
2.0,hillcrest apartments,6 Trenton St,Chattanooga,TN,37415
3.0,hillcrest apartments,2019 Hillcrest St,Mesquite,TX,75149
3.0,hillcrest apartments,3750 Post Oak Blvd,Euless,TX,76040
2.0,hillcrest apartments,300 Sunnyridge Ln,Loretto,MN,55357
3.0,hillcrest apartments,1616 E Howell St,Seattle,WA,98122
